"","country","edu2","continent","gii","Men","Women","diff"
"1","Albania","Low","Europe & North America",0.282500006258488,42.2868783509755,40.8845708071367,1.03429918710542
"2","Albania","High","Europe & North America",0.282500006258488,37.9416173445051,63.0517823297836,0.601753288210899
"3","Angola","Low","Africa",0.611000001430511,40.4416182255909,18.456558900667,2.19117867221335
"4","Angola","High","Africa",0.611000001430511,60.2551104682918,59.7934918903194,1.00772021441429
"5","Armenia","Low","FSU",0.399499997496605,70.5393537087681,55.1449276570255,1.27916304737017
"6","Armenia","High","FSU",0.399499997496605,74.0550777150762,74.6017903854784,0.992671587805369
"7","Austria","Low","Europe & North America",0.130000002682209,40.2100518082746,26.0121354573563,1.54581894570686
"8","Austria","High","Europe & North America",0.130000002682209,36.4082524895605,25.1792534522993,1.44596234985814
"9","Azerbaijan","Low","Asia",0.346000000834465,46.9476838133434,63.0063213784963,0.745126564861893
"10","Azerbaijan","High","Asia",0.346000000834465,22.3832051094022,71.0102461804387,0.315210921146871
"11","Belgium","Low","Europe & North America",0.113000001758337,34.1707587657577,23.8391773987004,1.43338665568303
"12","Belgium","High","Europe & North America",0.113000001758337,33.9159873445895,28.1416139269337,1.20518984563743
"13","Benin","Low","Africa",0.645999997854233,38.0115593331505,12.7697093368954,2.97669730221064
"14","Benin","High","Africa",0.645999997854233,41.4139581505141,28.4819245529831,1.45404353113408
"15","Bolivia","Low","Latin America",0.537499994039536,57.6051338699204,47.7678498451095,1.20593943534634
"16","Bolivia","High","Latin America",0.537499994039536,75.355274535022,63.5109971713355,1.18649175562043
"17","Brazil","Low","Latin America",0.478500008583069,65.7361541854838,62.5367348075114,1.05116064002734
"18","Brazil","High","Latin America",0.478500008583069,58.8574148390293,65.2772695334232,0.901652524067252
"19","Bulgaria","Low","Europe & North America",0.28099999576807,65.1301579719922,57.0277281560642,1.14207877602549
"20","Bulgaria","High","Europe & North America",0.28099999576807,70.7335338660939,62.9818646102083,1.12307779872603
"21","Burkina Faso","High","Africa",0.645999997854233,64.3298507602324,56.3539929094576,1.14153137052044
"22","Burundi","Low","Africa",0.578000009059906,50.7498838869781,61.901210256254,0.819852853876161
"23","Burundi","High","Africa",0.578000009059906,64.5714805980622,58.4824959279033,1.10411636120431
"24","Cambodia","Low","Asia",0.555999994277954,37.3160140994636,62.73216580581,0.594846577033174
"25","Cambodia","High","Asia",0.555999994277954,21.4511442067026,62.4927279126674,0.343258246570389
"26","Cameroon","Low","Africa",0.659999996423721,53.4586472647327,6.45674025203389,8.27951027577624
"27","Cameroon","High","Africa",0.659999996423721,58.8470678620402,25.3489909534762,2.32147575302086
"28","Canada","Low","Europe & North America",0.141500003635883,28.4657140192759,25.8188282860116,1.10251765509818
"29","Canada","High","Europe & North America",0.141500003635883,27.2644626046579,25.2550239248201,1.07956589888093
"30","Colombia","Low","Latin America",0.480499997735023,53.8861109390292,47.8589483670495,1.12593595926419
"31","Colombia","High","Latin America",0.480499997735023,53.2281654744004,53.2246523524477,1.00006600554062
"32","Congo","Low","Africa",0.617500007152557,69.7586077537389,26.0081867936947,2.68217881958041
"33","Congo","High","Africa",0.617500007152557,36.3480011190349,20.2354523090648,1.79625345477216
"34","Czechia","Low","Europe & North America",0.157499998807907,37.3670260241044,37.0593609820582,1.00830195216251
"35","Czechia","High","Europe & North America",0.157499998807907,35.3618652794616,35.3871281639639,0.999286099612685
